Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.827,1
0,0,0,0.0,0.808,1
0,0,0,0.0,0.822,1
0,0,0,0.0,0.796,1
0,0,0,0.0,0.825,1
0,0,0,0.0,0.829,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.857,1
0,0,0,0.0,0.852,1
0,0,0,0.0,0.877,1
0,0,0,0.0,0.89,1
0,0,0,0.0,0.899,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.866,1
0,0,0,0.0,0.844,1
0,0,0,0.0,0.839,1
0,0,0,0.0,0.819,1
0,0,0,0.0,0.805,1
0,0,0,0.0,0.792,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.763,1
0,0,0,0.0,0.753,1
0,0,0,0.0,0.748,1
0,0,0,0.0,0.733,1
0,0,0,0.0,0.742,1
0,0,0,0.0,0.734,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.738,1
0,0,0,0.0,0.735,1
0,0,0,0.0,0.755,1
0,0,0,0.0,0.763,1
0,0,0,0.0,0.775,1
0,0,0,0.0,0.774,1
0,0,0,0.0,0.848,1
0,0,0,0.0,0.92,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.939,1
0,0,0,0.0,0.945,1
0,0,0,0.0,0.985,1
0,0,0,0.0,0.91,1
0,0,0,0.0,0.862,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.894,1
0,0,0,0.0,0.894,1
0,0,0,0.0,0.908,1
0,0,0,0.0,0.911,1
0,0,0,0.0,0.901,1
0,0,0,0.0,0.883,1
0,0,0,0.0,0.867,1
0,0,0,0.0,0.861,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.876,1
0,0,0,0.0,0.896,1
0,0,0,0.0,0.9,1
0,0,0,0.0,0.88,1
0,0,0,0.0,0.913,1
0,0,0,0.0,0.9,1
0,0,0,0.0,0.89,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.867,1
0,0,0,0.0,0.884,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.833,1
0,0,0,0.0,0.804,1
0,0,0,0.0,0.819,1
0,0,0,0.0,0.8,1
0,0,0,0.0,0.795,1
0,0,0,0.0,0.795,1
0,0,0,0.0,0.778,1
0,0,0,0.0,0.809,1
0,0,0,0.0,0.813,1
0,0,0,0.0,0.836,1
0,0,0,0.0,0.829,1
0,0,0,0.0,0.841,1
0,0,0,0.0,0.816,1
0,0,0,0.0,0.843,1
0,0,0,0.0,0.846,1
15,50,35,62.85,0.863,1
55,19,56,80.76,0.87,1
152,26,319,354.32,0.855,1
38,39,116,128.14,0.837,1
18,34,53,65.49,0.854,1
65,29,75,103.4,0.855,1
17,0,20,26.25,0.847,1
0,0,0,0.0,0.821,1
0,0,0,0.0,0.858,1
0,0,0,0.0,0.854,1
0,0,0,0.0,0.864,1
0,0,0,0.0,0.847,1
109,19,128,169.19,0.829,1
64,18,97,117.6,0.85,1
8,0,76,76.42,0.854,1
6,5,12,14.32,0.85,1
56,35,176,187.98,0.669,1
117,41,139,186.26,0.668,1
98,4,135,166.87,0.679,1
39,9,171,175.62,0.688,1
38,55,11,67.75,0.691,1
14,41,54,69.23,0.698,1
4,11,9,14.76,0.696,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.68,1
0,0,0,0.0,0.679,1
0,0,0,0.0,0.684,1
0,0,0,0.0,0.682,1
0,0,0,0.0,0.673,1
0,0,0,0.0,0.677,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.683,1
0,0,0,0.0,0.69,1
0,0,0,0.0,0.7,1
0,0,0,0.0,0.707,1
0,0,0,0.0,0.707,1
0,0,0,0.0,0.718,1
0,0,0,0.0,0.706,1
0,0,0,0.0,0.699,1
0,0,0,0.0,0.7,1
0,0,0,0.0,0.701,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.686,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.683,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.694,1
0,0,0,0.0,0.666,1
0,0,0,0.0,0.658,1
0,0,0,0.0,0.324,1
0,0,0,0.0,0.255,1
0,0,0,0.0,0.286,1
0,0,0,0.0,0.302,1
0,0,0,0.0,0.264,1
0,0,0,0.0,0.338,1
0,0,0,0.0,0.291,1
0,0,0,0.0,0.328,1
0,0,0,0.0,0.343,1
0,0,0,0.0,0.478,1
0,0,0,0.0,0.299,1
0,0,0,0.0,0.337,1
0,0,0,0.0,0.387,1
0,0,0,0.0,0.493,1
0,0,0,0.0,0.479,1
0,0,0,0.0,0.526,1
0,0,0,0.0,0.255,1
0,0,0,0.0,0.336,1
0,0,0,0.0,2.141,1
0,0,0,0.0,0.395,1
0,0,0,0.0,0.276,1
0,0,0,0.0,0.339,1
0,0,0,0.0,0.387,1
0,0,0,0.0,0.699,1
0,0,0,0.0,0.278,1
0,0,0,0.0,0.271,1
0,0,0,0.0,0.329,1
0,0,0,0.0,0.306,1
0,0,0,0.0,0.263,1
0,0,0,0.0,0.32,1
0,0,0,0.0,0.354,1
0,0,0,0.0,0.995,1
0,0,0,0.0,0.263,1
0,0,0,0.0,0.417,1
0,0,0,0.0,0.253,1
0,0,0,0.0,0.617,1
10,1,8,12.85,0.398,1
0,0,0,0.0,0.36,1
0,0,0,0.0,0.303,1
0,0,0,0.0,0.336,1
0,0,0,0.0,0.62,1
0,0,0,0.0,0.344,1
0,0,0,0.0,0.293,1
0,0,0,0.0,0.262,1
0,0,0,0.0,0.256,1
0,0,0,0.0,0.281,1
0,0,0,0.0,0.306,1
0,0,0,0.0,0.507,1
0,0,0,0.0,0.644,1
0,0,0,0.0,0.26,1
0,0,0,0.0,0.335,1
2,0,0,2.0,0.349,1
0,0,0,0.0,0.25,1
0,0,0,0.0,0.327,1
0,0,0,0.0,0.722,1
0,0,0,0.0,0.585,1
0,0,0,0.0,0.763,1
0,0,0,0.0,0.303,1
0,0,0,0.0,0.284,1
0,0,0,0.0,0.333,1
0,0,0,0.0,0.392,1
0,0,0,0.0,0.343,1
0,0,0,0.0,0.306,1
0,0,0,0.0,0.321,1
0,0,0,0.0,0.406,1
0,0,0,0.0,0.366,1
0,0,0,0.0,0.431,1
0,0,0,0.0,0.386,1
33,6,29,44.34,0.279,1
100,23,210,233.73,0.294,1
76,47,141,166.93,0.426,1
108,37,159,195.74,0.442,1
58,24,96,114.7,0.265,1
93,18,59,111.6,0.253,1
98,22,209,231.88,0.272,1
74,38,133,156.87,0.539,1
88,55,207,231.56,0.976,1
9,0,70,70.58,0.281,1
0,0,57,57.0,0.261,1
0,0,1,1.0,0.355,1
0,0,0,0.0,0.31,1
0,0,0,0.0,0.446,1
0,0,0,0.0,0.282,1
0,0,0,0.0,1.849,1
0,0,0,0.0,0.282,1
0,0,0,0.0,0.46,1
0,0,0,0.0,0.254,1
0,0,0,0.0,0.314,1
0,0,0,0.0,2.678,1
0,0,0,0.0,5.697,1
0,0,0,0.0,0.278,1
0,0,0,0.0,0.259,1
0,0,0,0.0,0.792,1
2,2,18,18.22,0.836,1
17,0,103,104.39,0.406,1
0,0,33,33.0,0.419,1
0,0,44,44.0,3.563,1
34,3,102,107.56,1.392,1
0,0,17,17.0,0.673,1
12,0,47,48.51,0.684,1
0,0,0,0.0,0.686,1
0,0,0,0.0,0.689,1
0,0,0,0.0,0.681,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.695,1
0,0,0,0.0,0.692,1
0,0,0,0.0,0.7,1
0,0,0,0.0,0.706,1
0,0,0,0.0,0.37,1
0,0,0,0.0,0.33,1
0,0,0,0.0,0.702,1
0,0,0,0.0,0.71,1
0,0,0,0.0,0.709,1
0,0,0,0.0,0.712,1
0,0,0,0.0,0.721,1
0,0,0,0.0,0.395,1
0,0,0,0.0,0.336,1
0,0,0,0.0,0.281,1
0,0,0,0.0,0.323,1
0,0,0,0.0,0.891,1
0,0,0,0.0,0.753,1
0,0,0,0.0,0.731,1
0,0,0,0.0,0.724,1
0,0,0,0.0,0.723,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.349,1
0,0,0,0.0,0.271,1
0,0,0,0.0,0.389,1
0,0,0,0.0,2.614,1
0,0,0,0.0,0.736,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.748,1
0,0,0,0.0,0.733,1
0,0,0,0.0,0.735,1
0,0,0,0.0,0.389,1
0,0,0,0.0,0.282,1
0,0,0,0.0,0.826,1
0,0,0,0.0,0.751,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.73,1
0,0,0,0.0,0.732,1
0,0,0,0.0,0.733,1
0,0,0,0.0,0.53,1
0,0,0,0.0,0.922,1
88,5,82,120.39,0.731,1
