Axis1,Axis2,Axis3,Vector Magnitude,RR,label
92,94,129,184.23,0.795,0
35,50,21,64.54,0.806,0
0,5,1,5.1,0.813,0
0,0,0,0.0,0.816,0
0,0,0,0.0,0.827,0
0,0,0,0.0,0.808,0
0,0,0,0.0,0.822,0
0,0,0,0.0,0.796,0
0,0,0,0.0,0.825,0
0,0,0,0.0,0.829,0
0,0,0,0.0,0.84,0
0,0,0,0.0,0.857,0
0,0,0,0.0,0.852,0
0,0,0,0.0,0.877,0
0,0,0,0.0,0.89,0
0,0,0,0.0,0.899,0
0,0,0,0.0,0.898,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.866,0
0,0,0,0.0,0.844,0
0,0,0,0.0,0.839,0
0,0,0,0.0,0.819,0
0,0,0,0.0,0.805,0
0,0,0,0.0,0.792,0
0,0,0,0.0,0.771,0
0,0,0,0.0,0.763,0
0,0,0,0.0,0.753,0
0,0,0,0.0,0.748,0
0,0,0,0.0,0.733,0
0,0,0,0.0,0.742,0
0,0,0,0.0,0.734,0
0,0,0,0.0,0.744,0
0,0,0,0.0,0.738,0
0,0,0,0.0,0.735,0
0,0,0,0.0,0.755,0
0,0,0,0.0,0.763,0
0,0,0,0.0,0.775,0
0,0,0,0.0,0.774,0
0,0,0,0.0,0.848,0
0,0,0,0.0,0.92,0
0,0,0,0.0,0.898,0
0,0,0,0.0,0.939,0
0,0,0,0.0,0.945,0
0,0,0,0.0,0.985,0
0,0,0,0.0,0.91,0
0,0,0,0.0,0.862,0
0,0,0,0.0,0.84,0
0,0,0,0.0,0.894,0
0,0,0,0.0,0.894,0
0,0,0,0.0,0.908,0
0,0,0,0.0,0.911,0
0,0,0,0.0,0.901,0
0,0,0,0.0,0.883,0
0,0,0,0.0,0.867,0
0,0,0,0.0,0.861,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.876,0
0,0,0,0.0,0.896,0
0,0,0,0.0,0.9,0
0,0,0,0.0,0.88,0
0,0,0,0.0,0.913,0
0,0,0,0.0,0.9,0
0,0,0,0.0,0.89,0
0,0,0,0.0,0.898,0
0,0,0,0.0,0.867,0
0,0,0,0.0,0.884,0
0,0,0,0.0,0.886,0
0,0,0,0.0,0.833,0
0,0,0,0.0,0.804,0
0,0,0,0.0,0.819,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.795,0
0,0,0,0.0,0.795,0
0,0,0,0.0,0.778,0
0,0,0,0.0,0.809,0
0,0,0,0.0,0.813,0
0,0,0,0.0,0.836,0
0,0,0,0.0,0.829,0
0,0,0,0.0,0.841,0
0,0,0,0.0,0.816,0
0,0,0,0.0,0.843,0
0,0,0,0.0,0.846,0
15,50,35,62.85,0.863,0
55,19,56,80.76,0.87,0
152,26,319,354.32,0.855,0
38,39,116,128.14,0.837,0
18,34,53,65.49,0.854,0
65,29,75,103.4,0.855,0
17,0,20,26.25,0.847,0
0,0,0,0.0,0.821,0
0,0,0,0.0,0.858,0
0,0,0,0.0,0.854,0
0,0,0,0.0,0.864,0
0,0,0,0.0,0.847,0
109,19,128,169.19,0.829,0
64,18,97,117.6,0.85,0
8,0,76,76.42,0.854,0
6,5,12,14.32,0.85,0
56,35,176,187.98,0.669,0
117,41,139,186.26,0.668,0
98,4,135,166.87,0.679,0
39,9,171,175.62,0.688,0
38,55,11,67.75,0.691,0
14,41,54,69.23,0.698,0
4,11,9,14.76,0.696,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.68,0
0,0,0,0.0,0.679,0
0,0,0,0.0,0.684,0
0,0,0,0.0,0.682,0
0,0,0,0.0,0.673,0
0,0,0,0.0,0.677,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.683,0
0,0,0,0.0,0.69,0
0,0,0,0.0,0.7,0
0,0,0,0.0,0.707,0
0,0,0,0.0,0.707,0
0,0,0,0.0,0.718,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.699,0
0,0,0,0.0,0.7,0
0,0,0,0.0,0.701,0
0,0,0,0.0,0.693,0
0,0,0,0.0,0.696,0
0,0,0,0.0,0.696,0
0,0,0,0.0,0.693,0
0,0,0,0.0,0.686,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.688,0
0,0,0,0.0,0.683,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.694,0
0,0,0,0.0,0.666,0
0,0,0,0.0,0.658,0
0,0,0,0.0,0.324,0
0,0,0,0.0,0.255,0
0,0,0,0.0,0.286,0
0,0,0,0.0,0.302,0
0,0,0,0.0,0.264,0
0,0,0,0.0,0.338,0
0,0,0,0.0,0.291,0
0,0,0,0.0,0.328,0
0,0,0,0.0,0.343,0
0,0,0,0.0,0.478,0
0,0,0,0.0,0.299,0
0,0,0,0.0,0.337,0
0,0,0,0.0,0.387,0
0,0,0,0.0,0.493,0
0,0,0,0.0,0.479,0
0,0,0,0.0,0.526,0
0,0,0,0.0,0.255,0
0,0,0,0.0,0.336,0
0,0,0,0.0,2.141,0
0,0,0,0.0,0.395,0
0,0,0,0.0,0.276,0
0,0,0,0.0,0.339,0
0,0,0,0.0,0.387,0
0,0,0,0.0,0.699,0
0,0,0,0.0,0.278,0
0,0,0,0.0,0.271,0
0,0,0,0.0,0.329,0
0,0,0,0.0,0.306,0
0,0,0,0.0,0.263,0
0,0,0,0.0,0.32,0
0,0,0,0.0,0.354,0
0,0,0,0.0,0.995,0
0,0,0,0.0,0.263,0
0,0,0,0.0,0.417,0
0,0,0,0.0,0.253,0
0,0,0,0.0,0.617,0
10,1,8,12.85,0.398,0
0,0,0,0.0,0.36,0
0,0,0,0.0,0.303,0
0,0,0,0.0,0.336,0
0,0,0,0.0,0.62,0
0,0,0,0.0,0.344,0
0,0,0,0.0,0.293,0
0,0,0,0.0,0.262,0
0,0,0,0.0,0.256,0
0,0,0,0.0,0.281,0
0,0,0,0.0,0.306,0
0,0,0,0.0,0.507,0
0,0,0,0.0,0.644,0
0,0,0,0.0,0.26,0
0,0,0,0.0,0.335,0
2,0,0,2.0,0.349,0
0,0,0,0.0,0.25,0
0,0,0,0.0,0.327,0
0,0,0,0.0,0.722,0
0,0,0,0.0,0.585,0
0,0,0,0.0,0.763,0
0,0,0,0.0,0.303,0
0,0,0,0.0,0.284,0
0,0,0,0.0,0.333,0
0,0,0,0.0,0.392,0
0,0,0,0.0,0.343,0
0,0,0,0.0,0.306,0
0,0,0,0.0,0.321,0
0,0,0,0.0,0.406,0
0,0,0,0.0,0.366,0
0,0,0,0.0,0.431,0
0,0,0,0.0,0.386,0
33,6,29,44.34,0.279,0
100,23,210,233.73,0.294,0
76,47,141,166.93,0.426,0
108,37,159,195.74,0.442,0
58,24,96,114.7,0.265,0
93,18,59,111.6,0.253,0
98,22,209,231.88,0.272,0
74,38,133,156.87,0.539,0
88,55,207,231.56,0.976,0
9,0,70,70.58,0.281,0
0,0,57,57.0,0.261,0
0,0,1,1.0,0.355,0
0,0,0,0.0,0.31,0
0,0,0,0.0,0.446,0
0,0,0,0.0,0.282,0
